word,ortho_syl,phon_syl,syl_count
autobiography,au-to-bi-og-ra-phy,"ɔɚ.toʊ.baɪ.ɑ.gɹə.fɪ,6.0
biographically,bi-o-graph-i-cal-ly,"baɪ.oʊ.gɹæ.fɪ.kə.lɪ,6.0
chocolate,choc-o-late,tʃɑ.kə.lət,3.0
atavism,at-a-vism,æ.tə.vɪ.zəm,4.0
baritone,bar-i-tone,bæ.ɹɪ.toʊn,3.0
barium,bar-i-um,bɛɚ.ɹɪɚm,2.0
beneficent,be-nef-i-cent,bɪ.nɛ.fɪ.sənt,4.0
avoirdupois,av-oir-du-pois,"æ.və.də.pɔɪz,4.0
auriferous,au-rif-er-ous,ɔɚ.ɹɪ.fə.ɹəs,4.0
bicker,bick-er,bɪ.kəR,2.0
choreography,cho-re-og-ra-phy,"kɑ.ɹɪ.ɑ.gɹə.fɪ,5.0
Bahamian,Ba-ha-mi-an,bə.heɪ.mɪɚn,3.0
comforter,com-fort-er,kʌm.fə.təR,3.0
aeronautic,aer-o-naut-ic,"ɛɚ.ɹə.nɔɚ.tɪk,4.0
amicability,am-i-ca-bil-i-ty,"æ.mɪ.kə.bɪ.lə.tɪ,6.0
absent-mindedly,ab-sent--mind-ed-ly,"æb.sənt.maɪn.dɪd.lɪ,5.0
builder,build-er,bɪl.dəR,2.0
chivalrously,chiv-al-rous-ly,ʃɪ.vəl.ɹəs,3.0
asphyxia,as-phyx-i-a,əs.fɪk.sɪɚ,3.0
bumper-to-bumper,bump-er--to--bump-er,"bʌm.pə.tuː.bʌm.pəR,5.0
celebrated,cel-e-brat-ed,sɛ.lɪ.bɹeɪ.tɪd,4.0
cavernous,cav-ern-ous,kæ.və.nəs,3.0
broadmindedness,broad-mind-ed-ness,"bɹɔɚd.maɪn.dɪd.nɪs,4.0
adamantly,ad-a-mant-ly,æ.də.mənt.lɪ,4.0
capacity,ca-pac-i-ty,kə.pæ.sə.tɪ,4.0
carotid,ca-rot-id,kə.ɹɑ.tɪd,3.0
colony,col-o-ny,kɑ.lə.nɪ,3.0
Cambodia,Cam-bo-di-a,kæm.boʊ.djə,3.0
ashen,ash-en,æ.ʃən,2.0
alimentary canal,al-i-men-ta-ry ca-nal,æ.lɪ."mɛn.tə.ɹɪ.kə.næl,7.0
anagram,an-a-gram,æ.nə.gɹæm,3.0
chivalry,chiv-al-ry,ʃɪ.vəl.ɹɪ,3.0
colonialism,co-lo-ni-al-ism,kə.loʊ.nɪɚ.lɪ.zəm,5.0
belongings,be-long-ings,bɪ.lɑ.ŋɪŋz,3.0
brigand,brig-and,bɹɪ.gənd,2.0
bachelor girl,bach-e-lor girl,bæ.tʃə.lə."gɚl,4.0
benedick,ben-e-dick,bɛ.nɪ.dɪk,3.0
Capricorn,Cap-ri-corn,kæ.pɹɪ.kɔɚn,3.0
civil law,civ-il law,"sɪ.vəl.lɔɚ,3.0
bibliography,bib-li-og-ra-phy,"bɪ.blɪ.ɑ.gɹə.fɪ,5.0
biographic,bi-o-graph-ic,"baɪ.oʊ.gɹæ.fɪk,4.0
animal kingdom,an-i-mal king-dom,æ.nɪ.məl."kɪŋ.dəm,5.0
blood-money,blood--mon-ey,blʌd."mʌ.nɪ,3.0
bring together,bring to-geth-er,"bɹɪŋ.tə.gɛ.ðəR,4.0
binding,bind-ing,baɪn.dɪŋ,2.0
agglomerate,ag-glom-er-ate,ə.glɑ.mə.ɹət,4.0
acetate,ac-e-tate,æ.sɪ.teɪt,3.0
already,al-read-y,ɔɚl.ɹɛ.dɪ,3.0
bluffer,bluff-er,blʌ.fəR,2.0
ascendent,as-cend-ent,ə.sɛn.dənt,3.0
colour in,col-our in,"kʌ.lə.ɹɪn,3.0
citrous,cit-rous,sɪ.tɹəs,2.0
annalist,an-nal-ist,æ.nə.lɪst,3.0
apparel,ap-par-el,ə.pæ.ɹəl,3.0
Brazilian,Bra-zil-ian,bɹə.zɪ.ljən,3.0
apoplectically,ap-o-plec-ti-cal-ly,ə."pɑ.lə.dʒɛ.tɪ.kə.lɪ,7.0
caressing,ca-ress-ing,kə.ɹɛ.sɪŋ,3.0
binding,bind-ing,baɪn.dɪŋ,2.0
banality,ba-nal-i-ty,bə.næ.lə.tɪ,4.0
Cheshire,Chesh-ire,tʃɛ.ʃəR,2.0
Africa,Af-ri-ca,æ.fɹɪ.kə,3.0
canonicals,ca-non-i-cals,kə.nɑ.nɪ.kəlz,4.0
clarinettist,clar-i-net-tist,"klæ.ɹə.nɛ.tɪst,4.0
bookable,book-a-ble,bʊ.kə.bəl,3.0
bombastic,bom-bas-tic,bɑm.bæ.stɪk,3.0
book learning,book learn-ing,bʊk."lɚ.nɪŋ,3.0
angelical,an-gel-i-cal,æn.dʒɛ.lɪ.kəl,4.0
categorical,cat-e-gor-i-cal,"kæ.tə.gɑ.ɹɪ.kəl,5.0
aromatic,ar-o-mat-ic,"æ.ɹoʊ.mæ.tɪk,4.0
airy,air-y,ɛɚ.ɹɪ,2.0
appraisal,ap-prais-al,ə.pɹeɪ.zəl,3.0
acronym,ac-ro-nym,æ.kɹoʊ.nɪm,3.0
clean-living,clean--liv-ing,"kliːn.lɪ.vɪŋ,3.0
banger,bang-er,bæ.ŋəR,2.0
asphyxiate,as-phyx-i-ate,əs.fɪk.sɪ.eɪt,4.0
bristols,bris-tols,bɹɪ.stəlz,2.0
commonage,com-mon-age,kɑ.mə.nɪdʒ,3.0
chaser,chas-er,tʃeɪ.səR,2.0
anatomical,an-a-tom-i-cal,"æ.nə.tɑ.mɪ.kəl,5.0
agriculture,ag-ri-cul-ture,æ.gɹɪ.kʌl.tʃəR,4.0
chicken,chick-en,tʃɪ.kɪn,2.0
checker,check-er,tʃɛ.kəR,2.0
awaken,a-wak-en,ə.weɪ.kən,3.0
amity,am-i-ty,æ.mə.tɪ,3.0
behaviour,be-hav-iour,bɪ.heɪ.vjəR,3.0
Arabia,A-ra-bi-a,ə.ɹeɪ.bjə,3.0
boxer,box-er,bɑk.səR,2.0
bury,bur-y,bɛ.ɹɪ,2.0
apiary,a-pi-ar-y,eɪ.pjə.ɹɪ,3.0
Blimpish,Blimp-ish,blɪm.pɪʃ,2.0
adult education,a-dult ed-u-ca-tion,"æ.dʌlt.ɛ.dʒʊ.keɪ.ʃən,6.0
ageing,age-ing,eɪ.dʒɪŋ,2.0
cm,cm,sɛn.tɪ."miː.təR,4.0
animate,an-i-mate,æ.nɪ.mət,3.0
Cape Coloured,Cape Col-oured,"keɪp.kʌ.ləd,3.0
bloodily,blood-i-ly,blʌ.dɪ.lɪ,3.0
attenuate,at-ten-u-ate,ə.tɛ.njʊ.eɪt,4.0
affected,af-fect-ed,ə.fɛk.tɪd,3.0
Catholicity,Cath-o-lic-i-ty,"kæ.θoʊ.lɪ.sə.tɪ,5.0
comer,com-er,kʌ.məR,2.0
committeewoman,com-mit-tee-wom-an,kə.mɪ.tɪ."wʊ.mən,5.0
chalice,chal-ice,tʃæ.lɪs,2.0
classicalism,clas-si-cal-ism,klæ.sɪ.kə.lɪ.zəm,5.0
bumper,bump-er,bʌm.pəR,2.0
apologetic,a-pol-o-get-ic,ə."pɑ.lə.dʒɛ.tɪk,5.0
backbreaking,back-break-ing,bæk."bɹeɪ.kɪŋ,3.0
benefit,ben-e-fit,bɛ.nɪ.fɪt,3.0
begonia,be-gon-ia,bɪ.goʊ.njə,3.0
Benedictus,Ben-e-dic-tus,"bɛ.nɪ.dɪk.təs,4.0
bludgeon into,bludg-eon in-to,blʌ.dʒən."ɪn.tuː,4.0
bribery,brib-er-y,bɹaɪ.bə.ɹɪ,3.0
cod-liver oil,cod--liv-er oil,"kɑd.lɪ.və.ɹɔɪl,4.0
colloquialism,col-lo-qui-al-ism,kə.loʊ.kwɪɚ.lɪ.zəm,5.0
capabilities,ca-pa-bil-i-ties,"keɪ.pə.bɪ.lə.tɪ,5.0
bilateral,bi-lat-er-al,"baɪ.læ.tə.ɹəl,4.0
CI,CI,"siː.aɪ,2.0
careerism,ca-reer-ism,kə.ɹɪɚ."ɹɪ.zəm,4.0
cagily,cag-i-ly,keɪ.dʒɪ.lɪ,3.0
buggery,bug-ger-y,bʌ.gə.ɹɪ,3.0
chary,char-y,tʃɛɚ.ɹɪ,2.0
antithetically,an-ti-thet-i-cal-ly,"æn.tɪ.θɛ.tɪ.kə.lɪ,6.0
beseeching,be-seech-ing,bɪ.siːtʃ,2.0
autoeroticism,au-to-e-rot-i-cism,"ɔɚ.toʊ.ɪ.ɹɑ.tɪ.sɪ.zəm,7.0
backfire,back-fire,bæk.faɪ.əR,3.0
Cominform,Com-in-form,kɔɚ.mɪn.fɔɚm,3.0
awe-inspiringly,awe--in-spir-ing-ly,ɔɚ.ɹɪn."spaɪ.ə.ɹɪŋ.lɪ,6.0
Colombian,Co-lom-bi-an,kə.lɑm.bɪɚn,3.0
awakening,a-wak-en-ing,ə.weɪk.nɪŋ,3.0
benediction,ben-e-dic-tion,"bɛ.nɪ.dɪk.ʃən,4.0
balustrade,bal-us-trade,"bæ.ləs.tɹeɪd,3.0
colloquial,col-lo-qui-al,kə.loʊ.kwɪɚl,3.0
aspectual,as-pec-tu-al,æ.spɛk.tʃʊɚl,3.0
clownishness,clown-ish-ness,klaʊ.nɪʃ.nɪs,3.0
camelhair,cam-el-hair,kæ.məl.hɛɚR,3.0
animosity,an-i-mos-i-ty,"æ.nɪ.mɑ.sə.tɪ,5.0
causative verb,caus-a-tive verb,kɔɚ.zə.tɪv."vɚb,4.0
cistern,cis-tern,sɪ.stən,2.0
bulkily,bulk-i-ly,bʌl.kɪ.lɪ,3.0
agrarian,a-grar-i-an,ə.gɹɛɚ.ɹɪɚn,3.0
Blessed Virgin Mary,Bless-ed Vir-gin Ma-ry,"blɛ.sɪd.vɚ.dʒɪn.mɛɚ.ɹɪ,6.0
American,A-mer-i-can,ə.mɛ.ɹɪ.kən,4.0
aliment,al-i-ment,æ.lɪ.mənt,3.0
clever,clev-er,klɛ.vəR,2.0
affectionate,af-fec-tion-ate,ə.fɛk.ʃnət,3.0
Benedictine,Ben-e-dic-tine,"bɛ.nɪ.dɪk.tɪn,4.0
adeptly,a-dept-ly,æ.dɛpt,2.0
belting,belt-ing,bɛl.tɪŋ,2.0
carious,car-i-ous,kɛɚ.ɹɪɚs,2.0
cicatrix,cic-a-trix,sɪ.kə.tɹɪks,3.0
American football,A-mer-i-can foot-ball,ə."mɛ.ɹɪ.kən.fʊt.bɔɚl,6.0
breeder,breed-er,bɹiː.dəR,2.0
bobolink,bob-o-link,bɑ.bə.lɪŋk,3.0
av.,av.,æ.və.ɹɪdʒ,3.0
aesthetically,aes-thet-i-cal-ly,iːs.θɛ.tɪ.kə.lɪ,5.0
according to,ac-cord-ing to,ə.kɔɚ.dɪŋ.tuː,4.0
alias,a-li-as,eɪ.lɪɚs,2.0
advisability,ad-vis-a-bil-i-ty,əd."vaɪ.zə.bɪ.lə.tɪ,6.0
block and tackle,block and tack-le,"blɑk.ænd.tæ.kəl,4.0
bouncily,bounc-i-ly,baʊn.sɪ.lɪ,3.0
arrester,ar-rest-er,ə.ɹɛ.stəR,3.0
breathily,breath-i-ly,bɹɛ.θɪ.lɪ,3.0
charitably,char-i-ta-bly,tʃæ.ɹə.tə.blɪ,4.0
caryatid,car-y-at-id,"kæ.ɹɪ.æ.tɪd,4.0
blether,bleth-er,blɛ.ðəR,2.0
anthology,an-thol-o-gy,æn.θɑ.lə.dʒɪ,4.0
Arabic,Ar-a-bic,æ.ɹə.bɪk,3.0
chicory,chic-o-ry,tʃɪ.kə.ɹɪ,3.0
chevalier,chev-a-lier,"ʃɛ.və.lɪɚR,3.0
antecedence,an-te-ced-ence,"æn.tɪ.siː.dəns,4.0
Clements,Clem-ents,klɛ.mənts,2.0
coming,com-ing,kʌ.mɪŋ,2.0
clarity,clar-i-ty,klæ.ɹə.tɪ,3.0
appraiser,ap-prais-er,ə.pɹeɪ.zəR,3.0
Celtic,Celt-ic,kɛl.tɪk,2.0
centripetal,cen-trip-e-tal,sɛn.tɹɪ.pɪ.təl,4.0
breathtaking,breath-tak-ing,bɹɛθ."teɪ.kɪŋ,3.0
agriculturalist,ag-ri-cul-tur-al-ist,"æ.gɹɪ.kʌl.tʃə.ɹə.lɪst,6.0
characterize,char-ac-ter-ize,kæ.ɹək.tə.ɹaɪz,4.0
anomalous,a-nom-a-lous,ə.nɑ.mə.ləs,4.0
blasphemer,blas-phem-er,blæs.fiː.məR,3.0
additional,ad-di-tion-al,ə.dɪ.ʃə.nəl,4.0
blistering,blis-ter-ing,blɪ.stə.ɹɪŋ,3.0
civil rights,civ-il rights,"sɪ.vəl.ɹaɪts,3.0
commemoration,com-mem-o-ra-tion,kə."mɛ.mə.ɹeɪ.ʃən,5.0
combatively,com-bat-ive-ly,kɑm.bə.tɪv.lɪ,4.0
astuteness,as-tute-ness,ə.stjuːt.nɪs,3.0
astrology,as-trol-o-gy,əs.tɹɑ.lə.dʒɪ,4.0
adherent,ad-her-ent,əd.hɪɚ.ɹənt,3.0
colic,col-ic,kɑ.lɪk,2.0
badger,badg-er,bæ.dʒəR,2.0
clarion,clar-i-on,klæ.ɹɪɚn,2.0
assignable,as-sign-a-ble,ə.saɪ.nə.bəl,4.0
commercialize,com-mer-cial-ize,kə.mɚ.ʃə.laɪz,4.0
china-closet,chi-na--clos-et,tʃaɪ.nə."klɑ.zɪt,4.0
cocker,cock-er,kɑ.kəR,2.0
clearing,clear-ing,klɪɚ.ɹɪŋ,2.0
bachelor,bach-e-lor,bæ.tʃə.ləR,3.0
bird of paradise,bird of par-a-dise,"bɚd.ɑv.pæ.ɹə.daɪs,5.0
cavernously,cav-ern-ous-ly,kæ.və.nəs.lɪ,4.0
animation,an-i-ma-tion,"æ.nɪ.meɪ.ʃən,4.0
biennial,bi-en-ni-al,baɪ.ɛ.nɪɚl,3.0
American Indian,A-mer-i-can In-di-an,ə."mɛ.ɹɪ.kən.ɪn.djən,6.0
buffer,buff-er,bʌ.fəR,2.0
Benedictine,Ben-e-dic-tine,"bɛ.nɪ.dɪk.tɪn,4.0
causative,caus-a-tive,kɔɚ.zə.tɪv,3.0
binocular,bin-oc-u-lar,"baɪ.nɑ.kjʊ.ləR,4.0
cataleptic,cat-a-lep-tic,"kæ.tə.lɛp.tɪk,4.0
boardinghouse,board-ing-house,bɔɚ.dɪŋ.haʊs,3.0
Bovril,Bov-ril,bɑ.vɹəl,2.0
cathode,cath-ode,kæ.θoʊd,2.0
blinking,blink-ing,blɪŋ.kɪŋ,2.0
aridly,ar-id-ly,æ.ɹɪd.lɪ,3.0
acquaintanceship,ac-quaint-ance-ship,ə.kweɪn.tən.ʃɪp,4.0
cleaner's,clean-er's,kliː.nəz,2.0
antagonize,an-tag-o-nize,æn.tæ.gə.naɪz,4.0
chronic,chron-ic,kɹɑ.nɪk,2.0
capitalize,cap-i-tal-ize,kæ.pɪ.tə.laɪz,4.0
aboriginal,ab-o-rig-i-nal,"æ.bə.ɹɪ.dʒə.nəl,5.0
briefing,brief-ing,bɹiː.fɪŋ,2.0
adenoidal,ad-e-noi-dal,"æ.dɪ.nɔɪ.dəl,4.0
celestial,ce-les-tial,sɪ.lɛ.stjəl,3.0
chronological,chron-o-log-i-cal,"kɹɑ.nə.lɑ.dʒɪ.kəl,5.0
brutish,brut-ish,bɹuː.tɪʃ,2.0
Anglo-Catholic,An-glo--Cath-o-lic,"æŋ.gloʊ.kæ.θə.lɪk,5.0
cockfighting,cock-fight-ing,kɑk."faɪ.tɪŋ,3.0
anthropology,an-thro-pol-o-gy,"æn.θɹə.pɑ.lə.dʒɪ,5.0
churlish,churl-ish,tʃɚ.lɪʃ,2.0
combinatorial,com-bi-na-to-ri-al,"kɑm.bɪ.nə.tɔɚ.ɹɪɚl,5.0
cabin boy,cab-in boy,kæ.bɪn.bɔɪ,3.0
bowling alley,bowl-ing al-ley,boʊ.lɪŋ."æ.lɪ,4.0
Aubriet,Au-briet,ɔɚ.bɹɪ.eɪ,3.0
arum,ar-um,ɛɚ.ɹəm,2.0
agate,ag-ate,æ.gət,2.0
chapel,chap-el,tʃæ.pəl,2.0
burner,burn-er,bɚ.nəR,2.0
comity of nations,com-i-ty of na-tions,"kɑ.mɪ.tɪ.ɑv.neɪ.ʃənz,6.0
acrobatic,ac-ro-bat-ic,"æ.kɹoʊ.bæ.tɪk,4.0
abrogation,ab-ro-ga-tion,"æ.bɹoʊ.geɪ.ʃən,4.0
bawdiness,bawd-i-ness,bɔɚ.dɪ.nɪs,3.0
catechism,cat-e-chism,kæ.tə.kɪ.zəm,4.0
choleric,chol-er-ic,kɑ.lə.ɹɪk,3.0
braces,brac-es,bɹeɪ.sɪz,2.0
bauxite,baux-ite,bɔɚk.saɪt,2.0
anarchistically,an-ar-chis-ti-cal-ly,"æ.nə.kɪ.stɪ.kə.lɪ,6.0
British,Brit-ish,bɹɪ.tɪʃ,2.0
Colonies,Col-o-nies,kɑ.lə.nɪz,3.0
biographer,bi-og-ra-pher,baɪ.ɑ.gɹə.fəR,4.0
autoerotism,au-to-er-o-tism,"ɔɚ.toʊ.ɛ.ɹə.tɪ.zəm,6.0
aspire,as-pire,ə.spaɪ.əR,3.0
burst in upon,burst in up-on,"bɚst.ɪn.ə."pɑn,4.0
cheekily,cheek-i-ly,tʃiː.kɪ.lɪ,3.0
astringent,as-trin-gent,ə.stɹɪn.dʒənt,3.0
arr.,arr.,ə.ɹeɪndʒd,2.0
actuarial,ac-tu-ar-i-al,"æk.tjʊ.ɛɚ.ɹɪɚl,4.0
Afghanistan,Af-ghan-i-stan,æf.gæ.nɪ.stæn,4.0
ceremony,cer-e-mo-ny,sɛ.ɹɪ.mə.nɪ,4.0
AmE,AmE,æ."mɛ.ɹɪ.kən.ɪŋ.glɪʃ,6.0
affecting,af-fect-ing,ə.fɛk.tɪŋ,3.0
brutalize,bru-tal-ize,bɹuː.tə.laɪz,3.0
bougainvillaea,bou-gain-vil-lae-a,"buː.gən.vɪ.lɪɚ,4.0
chemical,chem-i-cal,kɛ.mɪ.kəl,3.0
clothing,cloth-ing,kloʊ.ðɪŋ,2.0
apocalyptic,a-poc-a-lyp-tic,ə."pɑ.kə.lɪp.tɪk,5.0
cavity,cav-i-ty,kæ.və.tɪ,3.0
cold storage,cold stor-age,"koʊld.stɔɚ.ɹɪdʒ,3.0
coal measure,coal meas-ure,koʊl."mɛ.ʒəR,3.0
antiquity,an-tiq-ui-ty,æn.tɪ.kwə.tɪ,4.0
blowzy,blowz-y,blaʊ.zɪ,2.0
barony,bar-o-ny,bæ.ɹə.nɪ,3.0
baking-hot,bak-ing--hot,"beɪ.kɪŋ.hɑt,3.0
belligerence,bel-lig-er-ence,bɪ.lɪ.dʒə.ɹəns,4.0
caustic,caus-tic,kɔɚ.stɪk,2.0
adventurously,ad-ven-tur-ous-ly,əd.vɛn.tʃə.ɹəs.lɪ,5.0
bicentennial,bi-cen-ten-ni-al,"baɪ.sɛn.tɛ.njəl,4.0
accessibility,ac-ces-si-bil-i-ty,ək."sɛ.sə.bɪ.lə.tɪ,6.0
caparison,ca-par-i-son,kə.pæ.ɹɪ.sən,4.0
bated,bat-ed,beɪ.tɪd,2.0
avoidance,a-void-ance,ə.vɔɪ.dəns,3.0
adamant,ad-a-mant,æ.də.mənt,3.0
appealing,ap-peal-ing,ə.piː.lɪŋ,3.0
checkerboard,check-er-board,tʃɛ.kə.bɔɚd,3.0
Celtic,Celt-ic,kɛl.tɪk,2.0
boring,bor-ing,bɔɚ.ɹɪŋ,2.0
castellated,cas-tel-lat-ed,kæ.stə.leɪ.tɪd,4.0
ante meridiem,an-te me-rid-i-em,"æn.tɪ.mə.ɹɪ.dɪɚm,5.0
Aquarius,A-quar-i-us,ə.kwɛɚ.ɹɪɚs,3.0
clear-sighted,clear--sight-ed,"klɪɚ.saɪ.tɪd,3.0
categorically,cat-e-gor-i-cal-ly,"kæ.tə.gɑ.ɹɪ.kə.lɪ,6.0
clerically,cler-i-cal-ly,klɛ.ɹɪ.kə.lɪ,4.0
alibi,al-i-bi,æ.lɪ.baɪ,3.0
animalism,an-i-mal-ism,æ.nɪ.mə.lɪ.zəm,5.0
Catalan,Cat-a-lan,kæ.tə.læn,3.0
aphrodisiac,aph-ro-dis-i-ac,"æ.fɹoʊ.dɪ.zɪ.æk,5.0
chiropodist,chi-rop-o-dist,kɪ.ɹɑ.pə.dɪst,4.0
circumnavigate,cir-cum-nav-i-gate,"sɚ.kəm.næ.vɪ.geɪt,5.0
columnist,col-um-nist,kɑ.ləm.nɪst,3.0
collaborationism,col-lab-o-ra-tion-ism,kə."læ.bə.ɹeɪ.ʃə.nɪ.zəm,7.0
adulterer,a-dul-ter-er,ə.dʌl.tə.ɹəR,4.0
chiropody,chi-rop-o-dy,kɪ.ɹɑ.pə.dɪ,4.0
breathing,breath-ing,bɹiː.ðɪŋ,2.0
bareheaded,bare-head-ed,"bɛɚ.hɛ.dɪd,3.0
atheistic,a-the-is-tic,"eɪ.θɪ.ɪ.stɪk,4.0
choir screen,choir screen,kwaɪ.ə.skɹiːn,3.0
antibiotic,an-ti-bi-ot-ic,"æn.tɪ.baɪ.ɑ.tɪk,5.0
breach of promise,breach of prom-ise,"bɹiːtʃ.ɑv.pɹɑ.mɪs,4.0
aboriginal,ab-o-rig-i-nal,"æ.bə.ɹɪ.dʒə.nəl,5.0
clement,clem-ent,klɛ.mənt,2.0
accelerando,ac-cel-er-an-do,ək."sɛ.lə.ɹæn.doʊ,5.0
breezily,breez-i-ly,bɹiː.zɪ.lɪ,3.0
body stocking,bod-y stock-ing,bɑ.dɪ."stɑ.kɪŋ,4.0
antithesis,an-tith-e-sis,æn.tɪ.θɪ.sɪs,4.0
bronchitic,bron-chit-ic,bɹɑŋ.kɪ.tɪk,3.0
catatonic,cat-a-ton-ic,"kæ.tə.tɑ.nɪk,4.0
awestricken,awe-strick-en,ɔɚ."stɹɪ.kən,3.0
boracic,bo-rac-ic,bə.ɹæ.sɪk,3.0
attributive,at-trib-u-tive,ə.tɹɪ.bjʊ.tɪv,4.0
astronaut,as-tro-naut,æ.stɹə.nɔɚt,3.0
calico,cal-i-co,kæ.lɪ.koʊ,3.0
apostate,a-pos-tate,ə.pɑ.steɪt,3.0
anomalously,a-nom-a-lous-ly,ə.nɑ.mə.ləs.lɪ,5.0
bracket,brack-et,bɹæ.kɪt,2.0
Buddhism,Bud-dhism,bʊ.dɪ.zəm,3.0
breezy,breez-y,bɹiː.zɪ,2.0
coeducation,co-ed-u-ca-tion,"koʊ.ɛ.djuː.keɪ.ʃən,5.0
boracic acid,bo-rac-ic ac-id,bə."ɹæ.sɪk.æ.sɪd,5.0
brigandage,brig-and-age,bɹɪ.gən.dɪdʒ,3.0
anaemia,a-nae-mi-a,ə.niː.mjə,3.0
analogize,a-nal-o-gize,ə.næ.lə.dʒaɪz,4.0
clematis,clem-a-tis,klɛ.mə.tɪs,3.0
aqueous,a-que-ous,eɪ.kwɪɚs,2.0
Anglo-American,An-glo--A-mer-i-can,"æŋ.gloʊ.ə.mɛ.ɹɪ.kən,6.0
bookbinder,book-bind-er,bʊk."baɪn.dəR,3.0
chariot,char-i-ot,tʃæ.ɹɪɚt,2.0
bric-a-brac,bric--a--brac,bɹɪ.kə.bɹæk,3.0
calamine,cal-a-mine,kæ.lə.maɪn,3.0
bluestocking,blue-stock-ing,bluː."stɑ.kɪŋ,3.0
apologetically,a-pol-o-get-i-cal-ly,ə."pɑ.lə.dʒɛ.tɪ.kə.lɪ,7.0
calibre,cal-i-bre,kæ.lɪ.bəR,3.0
andiron,and-i-ron,æn.daɪ.ən,3.0
agonizingly,ag-o-niz-ing-ly,æ.gə.naɪ.zɪŋ.lɪ,5.0
autocratically,au-to-crat-i-cal-ly,"ɔɚ.toʊ.kɹæ.tɪ.kə.lɪ,6.0
comic strip,com-ic strip,kɑ.mɪk.stɹɪp,3.0
analogously,a-nal-o-gous-ly,ə.næ.lə.gəs.lɪ,5.0
binder,bind-er,baɪn.dəR,2.0
a posteriori,a pos-te-ri-o-ri,"eɪ.pɑ.stɪɚ.ɹɪ.ɔɚ.ɹaɪ,6.0
biologist,bi-ol-o-gist,baɪ.ɑ.lə.dʒɪst,4.0
backbiting,back-bit-ing,bæk.baɪ.tɪŋ,3.0
boarding,board-ing,bɔɚ.dɪŋ,2.0
bookseller,book-sell-er,bʊk."sɛ.ləR,3.0
civil service,civ-il serv-ice,"sɪ.vəl.sɚ.vɪs,4.0
case study,case stud-y,keɪs."stʌ.dɪ,3.0
cleavage,cleav-age,kliː.vɪdʒ,2.0
alveolar,al-ve-o-lar,æl.vɪɚ.ləR,3.0
amperage,am-per-age,æm.pə.ɹɪdʒ,3.0
antilogarithm,an-ti-log-a-rithm,"æn.tɪ.lɑ.gə.ɹɪ.ðF,6.0
atomic energy,a-tom-ic en-er-gy,ə."tɑ.mɪk.ɛ.nə.dʒɪ,6.0
assuredly,as-sur-ed-ly,ə.ʃɔɚ.ɹɪd.lɪ,4.0
Beninese,Be-nin-ese,"bɛ.nɪ.niːz,3.0
camp meeting,camp meet-ing,kæmp."miː.tɪŋ,3.0
backscratcher,back-scratch-er,bæk.skɹæ.tʃəR,3.0
bloodcurdling,blood-cur-dling,blʌd."kɚ.dəl.ɪŋ,4.0
antithetical,an-ti-thet-i-cal,"æn.tɪ.θɛ.tɪ.kəl,5.0
astronomy,as-tron-o-my,əs.tɹɑ.nə.mɪ,4.0
bawdy,bawd-y,bɔɚ.dɪ,2.0
anapaestic,an-a-paes-tic,"æ.nə.piː.stɪk,4.0
anonymously,a-non-y-mous-ly,ə.nɑ.nɪ.məs.lɪ,5.0
adv,adv,æd.vɚb,2.0
ascribable,a-scrib-a-ble,əs.kɹaɪ.bə.bəl,4.0
boundary,bound-a-ry,baʊn.də.ɹɪ,3.0
chastity,chas-ti-ty,tʃæ.stə.tɪ,3.0
broadmindedly,broad-mind-ed-ly,"bɹɔɚd.maɪn.dɪd.lɪ,4.0
catalepsy,cat-a-lep-sy,kæ.tə.lɛp.sɪ,4.0
ascetic,as-cet-ic,ə.sɛ.tɪk,3.0
abo,ab-o,æ.boʊ,2.0
chirpily,chirp-i-ly,tʃɚ.pɪ.lɪ,3.0
adventurer,ad-ven-tur-er,əd.vɛn.tʃə.ɹəR,4.0
ballooning,bal-loon-ing,bə.luː.nɪŋ,3.0
boiling-point,boil-ing--point,bɔɪ.lɪŋ.pɔɪnt,3.0
caribou,car-i-bou,kæ.ɹɪ.buː,3.0
addressee,ad-dress-ee,"æ.dɹɛ.siː,3.0
cavalier,cav-a-lier,"kæ.və.lɪɚR,3.0
acrostic,a-cros-tic,ə.kɹɑ.stɪk,3.0
advisable,ad-vis-a-ble,əd.vaɪ.zə.bəl,4.0
barium meal,bar-i-um meal,"bɛɚ.ɹɪɚm.miːl,3.0
ascendant,as-cend-ant,ə.sɛn.dənt,3.0
beading,bead-ing,biː.dɪŋ,2.0
amaryllis,am-a-ryl-lis,"æ.mə.ɹɪ.lɪs,4.0
cauterize,cau-ter-ize,kɔɚ.tə.ɹaɪz,3.0
chocolate,choc-o-late,tʃɑ.kə.lət,3.0
blighter,blight-er,blaɪ.təR,2.0
butcher,butch-er,bʊ.tʃəR,2.0
chivalrous,chiv-al-rous,ʃɪ.vəl.ɹəs,3.0
ambassadorial,am-bas-sa-do-ri-al,æm."bæ.sə.dɔɚ.ɹɪɚl,5.0
arithmetical,ar-ith-met-i-cal,"æ.ɹɪθ.mɛ.tɪ.kəl,5.0
anti-Semite,an-ti--Sem-ite,"æn.tɪ.siː.maɪt,4.0
calender,cal-en-der,kæ.lɪn.dəR,3.0
accountably,ac-count-a-bly,ə.kaʊn.tə.blɪ,4.0
