word,ortho_syl,phon_syl,syl_count
chop off,chop off,"tʃɑp.ɑf,2.0
bedclothes,bed-clothes,bɛd.kloʊðz,2.0
baldly,bald-ly,bɔɚld.lɪ,2.0
allowance,al-low-ance,ə.laʊ.əns,3.0
burdock,bur-dock,bɚ.dɑk,2.0
coercion,co-er-cion,koʊ.ɚ.ʃən,3.0
bolero,bo-le-ro,bə.lɛɚ.ɹoʊ,3.0
Anguillan,An-guil-lan,æŋ.gwɪ.lən,3.0
cloven foot,clo-ven foot,"kloʊ.vən.fʊt,3.0
cleanly,clean-ly,klɛn.lɪ,2.0
beguile,be-guile,bɪ.gaɪl,2.0
classics,clas-sics,klæ.sɪks,2.0
bald-pate,bald--pate,bɔɚld.peɪt,2.0
bibliophile,bib-li-o-phile,bɪ.blɪ.oʊ.faɪl,4.0
big stick,big stick,"bɪg.stɪk,2.0
ago,a-go,ə.goʊ,2.0
besiege,be-siege,bɪ.siːdʒ,2.0
bed and breakfast,bed and break-fast,"bɛd.ænd.bɹɛk.fəst,4.0
breeze through,breeze through,bɹiːz.θɹuː,2.0
cannon-fodder,can-non--fod-der,kæ.nən."fɑ.dəR,4.0
cocoon,co-coon,kə.kuːn,2.0
account,ac-count,ə.kaʊnt,2.0
chest of drawers,chest of draw-ers,"tʃɛst.ɑv.dɹɔɚz,3.0
coir,coir,kɔɪ.əR,2.0
aware,a-ware,ə.wɛɚR,2.0
bluebeard,blue-beard,bluː."bɪɚd,2.0
bill of fare,bill of fare,"bɪl.ɑv.fɛɚR,3.0
betterment,bet-ter-ment,bɛ.tə.mənt,3.0
anger,an-ger,æŋ.gəR,2.0
astrodome,as-tro-dome,æ.stɹə.doʊm,3.0
actively,ac-tive-ly,æk.tɪv.lɪ,3.0
ampoule,am-poule,æm.puːl,2.0
brown rice,brown rice,"bɹaʊn.ɹaɪs,2.0
antiseptic,an-ti-sep-tic,"æn.tɪ.sɛp.tɪk,4.0
aforementioned,a-fore-men-tioned,ə."fɔɚ.mɛn.ʃənd,4.0
array,ar-ray,ə.ɹeɪ,2.0
cheerless,cheer-less,tʃɪɚ.lɪs,2.0
bluffness,bluff-ness,blʌf.nɪs,2.0
beastly,beast-ly,biːst.lɪ,2.0
Anguillan,An-guil-lan,æŋ.gwɪ.lən,3.0
barrow-boy,bar-row--boy,bæ.ɹoʊ.bɔɪ,3.0
capture,cap-ture,kæp.tʃəR,2.0
antidote,an-ti-dote,æn.tɪ.doʊt,3.0
coco,co-co,koʊ.koʊ,2.0
coddle,cod-dle,kɑ.dəl,2.0
antediluvian,an-te-di-lu-vi-an,"æn.tɪ.dɪ.luː.vjən,5.0
choppers,chop-pers,tʃɑ.pəz,2.0
black power,black pow-er,"blæk.paʊ.əR,3.0
adverbial,ad-ver-bi-al,əd.vɚ.bjəl,3.0
black-eyed,black--eyed,blæk.aɪd,2.0
canoe,ca-noe,kə.nuː,2.0
brainless,brain-less,bɹeɪn.lɪs,2.0
capriccio,ca-pric-ci-o,kə.pɹɪ.tʃɪ.oʊ,4.0
appeal,ap-peal,ə.piːl,2.0
assay,as-say,ə.seɪ,2.0
amour,a-mour,ə.mʊɚR,2.0
annuity,an-nu-i-ty,ə.njuː.ɪ.tɪ,4.0
come across,come a-cross,"kʌm.ə.kɹɑs,3.0
cockroach,cock-roach,kɑk.ɹoʊtʃ,2.0
cat's eye,cat's eye,kæts.aɪ,2.0
bang-on,bang--on,"bæŋ.ɑn,2.0
combine,com-bine,kɑm.baɪn,2.0
bookclub,book-club,bʊk.klʌb,2.0
boron,bo-ron,bɔɚ.ɹɑn,2.0
blue law,blue law,bluː.lɔɚ,2.0
bearishness,bear-ish-ness,bɛɚ.ɹɪʃ.nɪs,3.0
boldfaced,bold-faced,boʊld.feɪst,2.0
censer,cen-ser,sɛn.səR,2.0
backboard,back-board,bæk.bɔɚd,2.0
adherent,ad-her-ent,əd.hɪɚ.ɹənt,3.0
chieftainship,chief-tain-ship,tʃiːf.tən.ʃɪp,3.0
banquet,ban-quet,bæŋ.kwɪt,2.0
beauty shop,beau-ty shop,bjuː.tɪ.ʃɑp,3.0
acid test,ac-id test,"æ.sɪd.tɛst,3.0
butt in,butt in,"bʌt.ɪn,2.0
bring about,bring a-bout,"bɹɪŋ.ə.baʊt,3.0
beyond,be-yond,bɪ.jɑnd,2.0
breathe out,breathe out,"bɹiːð.aʊt,2.0
bidding,bid-ding,bɪ.dɪŋ,2.0
applejack,ap-ple-jack,æ.pəl.dʒæk,3.0
ballpoint,ball-point,bɔɚl.pɔɪnt,2.0
chilliness,chil-li-ness,tʃɪ.lɪ.nɪs,3.0
commission,com-mis-sion,kə.mɪ.ʃən,3.0
boat-train,boat--train,boʊt.tɹeɪn,2.0
Burmese,Bur-mese,"bɚ.miːz,2.0
beetle-browed,bee-tle--browed,biː.təl.bɹaʊd,3.0
backlash,back-lash,bæk.læʃ,2.0
balsa,bal-sa,bɑl.sə,2.0
aggressive,ag-gres-sive,ə.gɹɛ.sɪv,3.0
blackberrying,black-ber-ry-ing,blæk."bɛ.ɹɪ.ɪŋ,4.0
build up,build up,"bɪld.ʌp,2.0
cloud chamber,cloud cham-ber,klaʊd."tʃeɪm.bəR,3.0
commerce,com-merce,kɑ.mɚs,2.0
bandbox,band-box,bænd.bɑks,2.0
bruin,bru-in,bɹuː.ɪn,2.0
close-cut,close--cut,"kloʊs.kʌt,2.0
billet-doux,bil-let--doux,"bɪ.leɪ.duː,3.0
brinksmanship,brinks-man-ship,bɹɪŋk.mən.ʃɪp,3.0
Band-Aid,Band--Aid,bænd.eɪd,2.0
coeval,co-e-val,koʊ.iː.vəl,3.0
channel,chan-nel,tʃæ.nəl,2.0
audit,au-dit,ɔɚ.dɪt,2.0
ancient,an-cient,eɪn.ʃənt,2.0
comfortless,com-fort-less,kʌm.fət.lɪs,3.0
autosuggestion,au-to-sug-ges-tion,"ɔɚ.toʊ.sə.dʒɛs.tʃən,5.0
blue-collar,blue--col-lar,"bluː.kɑ.ləR,3.0
afoul,a-foul,ə.faʊl,2.0
book in,book in,"bʊk.ɪn,2.0
by the bye,by the bye,"baɪ.ðə.baɪ,3.0
certitude,cer-ti-tude,sɚ.tɪ.tjuːd,3.0
clayey,clay-ey,kleɪ.ɪ,2.0
bumptious,bump-tious,bʌmp.ʃəs,2.0
behove,be-hove,bɪ.hoʊv,2.0
chewing-gum,chew-ing--gum,tʃuː.ɪŋ.gʌm,3.0
block in,block in,"blɑk.ɪn,2.0
Bactria,Bac-tri-a,bæk.tɹɪɚ,2.0
bunkum,bun-kum,bʌŋ.kəm,2.0
cadmium,cad-mi-um,kæd.mɪɚm,2.0
close-set,close--set,"kloʊs.sɛt,2.0
broadwise,broad-wise,bɹɔɚd.waɪz,2.0
bacon,ba-con,beɪ.kən,2.0
bale out,bale out,"beɪl.aʊt,2.0
closed shop,closed shop,"kloʊzd.ʃɑp,2.0
bowlful,bowl-ful,boʊl.fʊl,2.0
anticlockwise,an-ti-clock-wise,"æn.tɪ.klɑk.waɪz,4.0
commotion,com-mo-tion,kə.moʊ.ʃən,3.0
afresh,a-fresh,ə.fɹɛʃ,2.0
barelegged,bare-leg-ged,"bɛɚ.lɛgd,2.0
aggro,ag-gro,æ.gɹoʊ,2.0
babyhood,ba-by-hood,beɪ.bɪ.hʊd,3.0
billiards,bil-liards,bɪ.ljədz,2.0
accommodations,ac-com-mo-da-tions,ə."kɑ.mə.deɪ.ʃənz,5.0
bulletproof,bul-let-proof,bʊ.lɪt.pɹuːf,3.0
coachwork,coach-work,koʊtʃ.wɚk,2.0
coincidentally,co-in-ci-den-tal-ly,koʊ."ɪn.sɪ.dɛn.tə.lɪ,6.0
abhorrence,ab-hor-rence,əb.hɑ.ɹəns,3.0
call down,call down,"kɔɚl.daʊn,2.0
circular,cir-cu-lar,sɚ.kjʊ.ləR,3.0
awake to,a-wake to,ə.weɪk.tuː,3.0
ad hoc,ad hoc,"æd.hɑk,2.0
combat,com-bat,kɑm.bæt,2.0
brush off,brush off,"bɹʌʃ.ɑf,2.0
borderline,bor-der-line,bɔɚ.də.laɪn,3.0
bust-up,bust--up,bʌst.ʌp,2.0
carry through,car-ry through,"kæ.ɹɪ.θɹuː,3.0
booby prize,boo-by prize,buː.bɪ.pɹaɪz,3.0
cautiously,cau-tious-ly,kɔɚ.ʃəs.lɪ,3.0
brandish,bran-dish,bɹæn.dɪʃ,2.0
blowlamp,blow-lamp,bloʊ.læmp,2.0
black spot,black spot,blæk.spɑt,2.0
beforehand,be-fore-hand,bɪ.fɔɚ.hænd,3.0
befittingly,be-fit-ting-ly,bɪ.fɪ.tɪŋ.lɪ,4.0
bandoleer,ban-do-leer,"bæn.doʊ.lɪɚR,3.0
burdensomeness,bur-den-some-ness,bɚ.dən.səm.nɪs,4.0
cloakroom,cloak-room,kloʊk.ɹʊm,2.0
aspirate,as-pi-rate,æ.spə.ɹeɪt,3.0
above,a-bove,ə.bʌv,2.0
amalgam,a-mal-gam,ə.mæl.gəm,3.0
collier,col-lier,kɑ.lɪɚR,2.0
billiard-table,bil-liard--ta-ble,bɪ.ljəd."teɪ.bəl,4.0
Andorra,An-dor-ra,æn.dɔɚ.ɹə,3.0
centipede,cen-ti-pede,sɛn.tɪ.piːd,3.0
accident,ac-ci-dent,æk.sɪ.dənt,3.0
beginning,be-gin-ning,bɪ.gɪ.nɪŋ,3.0
commandant,com-man-dant,"kɑ.mən.dænt,3.0
byroad,by-road,baɪ.ɹoʊd,2.0
appropriation,ap-pro-pri-a-tion,ə."pɹoʊ.pɹɪ.eɪ.ʃən,5.0
bower,bow-er,baʊ.əR,2.0
bobby-socks,bob-by--socks,bɑ.bɪ.sɑks,3.0
captive audience,cap-tive au-di-ence,"kæp.tɪv.ɔɚ.djəns,4.0
break out,break out,"bɹeɪk.aʊt,2.0
aground,a-ground,ə.gɹaʊnd,2.0
amount to,a-mount to,ə.maʊnt.tuː,3.0
babel,ba-bel,beɪ.bəl,2.0
big-boned,big--boned,"bɪg.boʊnd,2.0
clean-bowled,clean--bowled,"kliːn.boʊld,2.0
air-to-ground,air--to--ground,"ɛɚ.tuː.gɹaʊnd,3.0
chinchilla,chin-chil-la,tʃɪn.tʃɪ.lə,3.0
bittersweet,bit-ter-sweet,bɪ.tə.swiːt,3.0
clutch at,clutch at,klʌtʃ.æt,2.0
acceptance,ac-cept-ance,ək.sɛp.təns,3.0
carry back,car-ry back,"kæ.ɹɪ.bæk,3.0
bedstead,bed-stead,bɛd.stɛd,2.0
actor,ac-tor,æk.təR,2.0
close call,close call,"kloʊs.kɔɚl,2.0
bloodstained,blood-stained,blʌd.steɪnd,2.0
ballerina,bal-le-ri-na,"bæ.lə.ɹiː.nə,4.0
annuitant,an-nu-i-tant,ə.njuː.tənt,3.0
breakwater,break-wa-ter,bɹeɪk."wɔɚ.təR,3.0
abbess,ab-bess,æ.bɛs,2.0
aspectually,as-pec-tu-al-ly,æ.spɛk.tʃʊɚ.lɪ,4.0
cantankerously,can-tan-ker-ous-ly,kæn.tæŋ.kə.ɹəs.lɪ,5.0
abstemiously,ab-ste-mi-ous-ly,æb.stiː.mjəs.lɪ,4.0
babbler,bab-bler,bæ.bəl.əR,3.0
approbatory,ap-pro-ba-to-ry,"æ.pɹoʊ.beɪ.tə.ɹɪ,5.0
call on,call on,kɔɚl.ɑn,2.0
allergy,al-ler-gy,æ.lə.dʒɪ,3.0
attributively,at-trib-u-tive-ly,ə.tɹɪ.bjʊ.tɪv.lɪ,5.0
cash flow,cash flow,kæʃ.floʊ,2.0
assessment,as-sess-ment,ə.sɛs.mənt,3.0
blacklist,black-list,blæk.lɪst,2.0
bobsled,bob-sled,bɑb.slɛd,2.0
avoid,a-void,ə.vɔɪd,2.0
cocktail dress,cock-tail dress,kɑk.teɪl.dɹɛs,3.0
better,bet-ter,bɛ.təR,2.0
bougainvillea,bou-gain-vil-lea,"buː.gən.vɪ.lɪɚ,4.0
cock-a-hoop,cock--a--hoop,"kɑ.kə.huːp,3.0
all-day,all--day,ɔɚl.deɪ,2.0
Burma,Bur-ma,bɚ.mə,2.0
barrel organ,bar-rel or-gan,bæ.ɹəl."ɔɚ.gən,4.0
adjacent,ad-ja-cent,ə.dʒeɪ.sənt,3.0
awhile,a-while,ə.waɪl,2.0
chessboard,chess-board,tʃɛs.bɔɚd,2.0
air-raid,air--raid,ɛɚ.ɹeɪd,2.0
audacious,au-da-cious,ɔɚ.deɪ.ʃəs,3.0
about,a-bout,ə.baʊt,2.0
autistically,au-tis-ti-cal-ly,ɔɚ.tɪ.stɪ.kə.lɪ,5.0
backmost,back-most,bæk.moʊst,2.0
active,ac-tive,æk.tɪv,2.0
ambidextrous,am-bi-dex-trous,"æm.bɪ.dɛks.tɹəs,4.0
cocotte,co-cotte,kɑ.kɑt,2.0
annals,an-nals,æ.nəlz,2.0
candidate,can-di-date,kæn.dɪ.dət,3.0
aglow,a-glow,ə.gloʊ,2.0
age-group,age--group,eɪdʒ."gɹuːp,2.0
billion,bil-lion,bɪ.ljən,2.0
auto,au-to,ɔɚ.toʊ,2.0
antipersonnel,an-ti-per-son-nel,"æn.tɪ.pɚ.sə.nɛl,5.0
absoluteness,ab-so-lute-ness,æb.sə.luːt.nɪs,4.0
bountifully,boun-ti-ful-ly,baʊn.tɪ.fʊ.lɪ,4.0
clamminess,clam-mi-ness,klæ.mɪ.nɪs,3.0
assemblage,as-sem-blage,ə.sɛm.blɪdʒ,3.0
baseline,base-line,beɪs.laɪn,2.0
careworn,care-worn,kɛɚ.wɔɚn,2.0
broker,bro-ker,bɹoʊ.kəR,2.0
big business,big busi-ness,"bɪg.bɪz.nɪs,3.0
anew,a-new,ə.njuː,2.0
breakfast,break-fast,bɹɛk.fəst,2.0
bewitch,be-witch,bɪ.wɪtʃ,2.0
castration,cas-tra-tion,kæs.tɹeɪ.ʃən,3.0
bailment,bail-ment,beɪl.mənt,2.0
airworthiness,air-wor-thi-ness,ɛɚ."wɚ.ðɪ.nɪs,4.0
coitus,co-i-tus,koʊ.ɪ.təs,3.0
ambulance,am-bu-lance,æm.bjʊ.ləns,3.0
bestially,bes-tial-ly,bɛs.tjə.lɪ,3.0
attribution,at-tri-bu-tion,"æ.tɹɪ.bjuː.ʃən,4.0
come in,come in,"kʌm.ɪn,2.0
bully,bul-ly,bʊ.lɪ,2.0
backwards,back-wards,bæk.wədz,2.0
carefulness,care-ful-ness,kɛɚ.fʊl.nɪs,3.0
asphalt,as-phalt,æs.fælt,2.0
bunk bed,bunk bed,bʌŋk.bɛd,2.0
caprice,ca-price,kə.pɹiːs,2.0
breastplate,breast-plate,bɹɛst.pleɪt,2.0
cap-a-pie,cap--a--pie,"kæp.ə.piː,3.0
baby-talk,ba-by--talk,beɪ.bɪ.tɔɚk,3.0
air-cooled,air--cooled,ɛɚ."kuːld,2.0
assortment,as-sort-ment,ə.sɔɚt.mənt,3.0
bird-brained,bird--brained,bɚd.bɹeɪnd,2.0
admirable,ad-mi-ra-ble,æd.mə.ɹə.bəl,4.0
backhand,back-hand,bæk.hænd,2.0
bye-byes,bye--byes,baɪ.baɪz,2.0
cohesion,co-he-sion,koʊ.hiː.ʒən,3.0
call by,call by,kɔɚl.baɪ,2.0
bas-relief,bas--re-lief,"bæs.ɹɪ.liːf,3.0
bemuse,be-muse,bɪ.mjuːz,2.0
cinders,cin-ders,sɪn.dəz,2.0
bisection,bi-sec-tion,"baɪ.sɛk.ʃən,3.0
bygones,by-gones,baɪ.gɑnz,2.0
acquiescence,ac-qui-es-cence,"æ.kwɪ.ɛ.səns,4.0
celluloid,cel-lu-loid,sɛl.jʊ.lɔɪd,3.0
century,cen-tu-ry,sɛn.tʃʊ.ɹɪ,3.0
collusion,col-lu-sion,kə.luː.ʒən,3.0
chambered nautilus,cham-bered nau-ti-lus,"tʃeɪm.bəd.nɔɚ.tɪ.ləs,5.0
bacchanal,bac-cha-nal,bæ.kə.nəl,3.0
birthday,birth-day,bɚθ.deɪ,2.0
casement window,case-ment win-dow,"keɪs.mənt.wɪn.doʊ,4.0
cannabis,can-na-bis,kæ.nə.bɪs,3.0
absently,ab-sent-ly,æb.sənt.lɪ,3.0
backgammon,back-gam-mon,bæk."gæ.mən,3.0
beware,be-ware,bɪ.wɛɚR,2.0
comb-out,comb--out,koʊm.aʊt,2.0
admonition,ad-mo-ni-tion,"æd.moʊ.nɪ.ʃən,4.0
chubby,chub-by,tʃʌ.bɪ,2.0
ballet-skirt,bal-let--skirt,bæ.lɪ.skɚt,3.0
awfully,aw-ful-ly,ɔɚ.fʊ.lɪ,3.0
askew,a-skew,ə.skjuː,2.0
canto,can-to,kæn.toʊ,2.0
capsicum,cap-si-cum,kæp.sɪ.kəm,3.0
cash and carry,cash and car-ry,"kæʃ.ænd.kæ.ɹɪ,4.0
alter ego,al-ter e-go,"æl.tə.ɹɛ.goʊ,4.0
adornment,a-dorn-ment,ə.dɔɚn.mənt,3.0
caudally,cau-dal-ly,kɔɚ.dəl.ɪ,3.0
apex,a-pex,eɪ.pɛks,2.0
campion,cam-pi-on,kæm.pjən,2.0
budget,bud-get,bʌ.dʒɪt,2.0
adhesive,ad-he-sive,əd.hiː.sɪv,3.0
aggregation,ag-gre-ga-tion,"æ.gɹɪ.geɪ.ʃən,4.0
comely,come-ly,kʌm.lɪ,2.0
caress,ca-ress,kə.ɹɛs,2.0
colon,co-lon,koʊ.lən,2.0
calumniate,ca-lum-ni-ate,kə.lʌm.nɪ.eɪt,4.0
bricklaying,brick-lay-ing,bɹɪk."leɪ.ɪŋ,3.0
cohere,co-here,koʊ.hɪɚR,2.0
calcine,cal-cine,kæl.saɪn,2.0
aptitude,ap-ti-tude,æp.tɪ.tjuːd,3.0
brimful,brim-ful,"bɹɪm.fʊl,2.0
adjustable,ad-just-a-ble,ə.dʒʌ.stə.bəl,4.0
balls up,balls up,"bɔɚlz.ʌp,2.0
cobber,cob-ber,kɑ.bəR,2.0
aggressor,ag-gres-sor,ə.gɹɛ.səR,3.0
capon,ca-pon,keɪ.pən,2.0
coincidence,co-in-ci-dence,koʊ.ɪn.sɪ.dəns,4.0
begad,be-gad,bɪ.gæd,2.0
abscess,ab-scess,æb.sɪs,2.0
baby-face,ba-by--face,beɪ.bɪ.feɪs,3.0
almanac,al-ma-nac,ɔɚl.mə.næk,3.0
Burberry,Bur-ber-ry,bɚ.bə.ɹɪ,3.0
comfy,com-fy,kʌm.fɪ,2.0
ballcock,ball-cock,bɔɚl.kɑk,2.0
Chablis,Cha-blis,ʃæ.bliː,2.0
befog,be-fog,bɪ.fɑg,2.0
annoying,an-noy-ing,ə.nɔɪ.ɪŋ,3.0
audaciously,au-da-cious-ly,ɔɚ.deɪ.ʃəs.lɪ,4.0
cat-and-mouse,cat--and--mouse,"kæt.ænd.maʊs,3.0
accrue,ac-crue,ə.kɹuː,2.0
apportion,ap-por-tion,ə.pɔɚ.ʃən,3.0
bountiful,boun-ti-ful,baʊn.tɪ.fʊl,3.0
amphora,am-pho-ra,æm.fə.ɹə,3.0
astir,a-stir,ə.stɚR,2.0
baffle,baf-fle,bæ.fəl,2.0
bubbly,bub-bly,bʌ.blɪ,2.0
buckle down,buck-le down,"bʌ.kəl.daʊn,3.0
centennially,cen-ten-ni-al-ly,sɛn.tɛ.njə.lɪ,4.0
chain reaction,chain re-ac-tion,"tʃeɪn.ɹɪ.æk.ʃən,4.0
close with,close with,kloʊz.wɪð,2.0
christen,chris-ten,kɹɪ.sən,2.0
aubrietia,au-brie-tia,ɔɚ.bɹiː.ʃə,3.0
come about,come a-bout,"kʌm.ə.baʊt,3.0
come up against,come up a-gainst,"kʌm.ʌp.ə."gɛnst,4.0
clothespin,clothes-pin,kloʊðz.pɪn,2.0
bitterly,bit-ter-ly,bɪ.tə.lɪ,3.0
breast-deep,breast--deep,"bɹɛst.diːp,2.0
akimbo,a-kim-bo,ə.kɪm.boʊ,3.0
blunder,blun-der,blʌn.dəR,2.0
Bordeaux,Bor-deaux,bɔɚ.doʊ,2.0
aloft,a-loft,ə.lɑft,2.0
active voice,ac-tive voice,"æk.tɪv.vɔɪs,3.0
bay leaf,bay leaf,beɪ.liːf,2.0
acquit,ac-quit,ə.kwɪt,2.0
clapped-out,clapped--out,"klæpt.aʊt,2.0
addle-brained,ad-dle--brained,æ.dəl."bɹeɪnd,3.0
bitty,bit-ty,bɪ.tɪ,2.0
cobalt,co-balt,koʊ.bɔɚlt,2.0
aside,a-side,ə.saɪd,2.0
ante up,an-te up,"æn.tɪ.ʌp,3.0
arrogantly,ar-ro-gant-ly,æ.ɹə.gənt.lɪ,4.0
anaesthetize,an-aes-the-tize,æ.niːs.θə.taɪz,4.0
black flag,black flag,"blæk.flæg,2.0
brilliant,bril-liant,bɹɪ.ljənt,2.0
bongo drum,bon-go drum,bɑŋ.goʊ.dɹʌm,3.0
anus,a-nus,eɪ.nəs,2.0
baksheesh,bak-sheesh,"bæk.ʃiːʃ,2.0
accumulatively,ac-cu-mu-la-tive-ly,ə.kjuː.mjʊ.lə.tɪv.lɪ,6.0
airhole,air-hole,ɛɚ.hoʊl,2.0
big time,big time,bɪg.taɪm,2.0
bullnecked,bull-necked,"bʊl.nɛkt,2.0
chatty,chat-ty,tʃæ.tɪ,2.0
awake,a-wake,ə.weɪk,2.0
Celsius,Cel-si-us,sɛl.sɪɚs,2.0
asymmetry,a-sym-me-try,"eɪ.sɪ.mə.tɹɪ,4.0
belt out,belt out,"bɛlt.aʊt,2.0
cognate,cog-nate,kɑg.neɪt,2.0
alternatively,al-ter-na-tive-ly,ɔɚl.tɚ.nə.tɪv.lɪ,5.0
cofferdam,cof-fer-dam,kɑ.fə.dæm,3.0
bedridden,bed-rid-den,bɛd."ɹɪ.dən,3.0
amiss,a-miss,ə.mɪs,2.0
brazen-faced,bra-zen--faced,bɹeɪ.zən.feɪst,3.0
apprentice,ap-pren-tice,ə.pɹɛn.tɪs,3.0
boxful,box-ful,bɑks.fʊl,2.0
carry on with,car-ry on with,"kæ.ɹɪ.ɑn.wɪð,4.0
belly-ache,bel-ly--ache,bɛ.lɪ.eɪk,3.0
coastwise,coast-wise,koʊst.waɪz,2.0
act up,act up,"ækt.ʌp,2.0
belong,be-long,bɪ.lɑŋ,2.0
ballot-box,bal-lot--box,bæ.lət.bɑks,3.0
border,bor-der,bɔɚ.dəR,2.0
blowing-up,blow-ing--up,"bloʊ.ɪŋ.ʌp,3.0
calliper,cal-li-per,kæ.lɪ.pəR,3.0
burst in on,burst in on,"bɚst.ɪn.ɑn,3.0
bazooka,ba-zoo-ka,bə.zuː.kə,3.0
callus,cal-lus,kæ.ləs,2.0
away,a-way,ə.weɪ,2.0
achievement,a-chieve-ment,ə.tʃiːv.mənt,3.0
attack,at-tack,ə.tæk,2.0
appreciably,ap-pre-cia-bly,ə.pɹiː.ʃə.blɪ,4.0
clearway,clear-way,klɪɚ.weɪ,2.0
alone,a-lone,ə.loʊn,2.0
baby,ba-by,beɪ.bɪ,2.0
commandeer,com-man-deer,"kɑ.mən.dɪɚR,3.0
coley,co-ley,koʊ.lɪ,2.0
agenda,a-gen-da,ə.dʒɛn.də,3.0
buoy up,buoy up,"bɔɪ.ʌp,2.0
aver,a-ver,ə.vɚR,2.0
boil up,boil up,"bɔɪl.ʌp,2.0
Caucasia,Cau-ca-sia,kɔɚ.keɪ.zjə,3.0
arraignment,ar-raign-ment,ə.ɹeɪn.mənt,3.0
centre-bit,cen-tre--bit,sɛn.tə.bɪt,3.0
bread-and-butter,bread--and--but-ter,"bɹɛd.ænd.bʌ.təR,4.0
Asian,A-sian,eɪ.ʃən,2.0
chamber music,cham-ber mu-sic,tʃeɪm.bə."mjuː.zɪk,4.0
bluff into,bluff in-to,blʌf."ɪn.tuː,3.0
atchoo,a-tchoo,ə.tʃuː,2.0
colossally,co-los-sal-ly,kə.lɑ.sə.lɪ,4.0
barricade,bar-ri-cade,"bæ.ɹɪ.keɪd,3.0
comedown,come-down,kʌm.daʊn,2.0
brush aside,brush a-side,"bɹʌʃ.ə.saɪd,3.0
chilly,chil-ly,tʃɪ.lɪ,2.0
bring off,bring off,"bɹɪŋ.ɑf,2.0
blithesome,blithe-some,blaɪð.səm,2.0
big deal,big deal,"bɪg.diːl,2.0
Bolshevik,Bol-she-vik,bɑl.ʃɪ.vɪk,3.0
boyishly,boy-ish-ly,bɔɪ.ɪʃ.lɪ,3.0
brochure,bro-chure,bɹoʊ.ʃəR,2.0
Blackshirt,Black-shirt,blæk.ʃɚt,2.0
adult,a-dult,æ.dʌlt,2.0
boom town,boom town,buːm.taʊn,2.0
assembly room,as-sem-bly room,ə.sɛm.blɪ.ɹʊm,4.0
clangour,clang-our,klæ.ŋəR,2.0
birdseed,bird-seed,bɚd.siːd,2.0
campaign,cam-paign,kæm.peɪn,2.0
bring through,bring through,"bɹɪŋ.θɹuː,2.0
broken,bro-ken,bɹoʊ.kən,2.0
Benedict,Ben-e-dict,bɛ.nɪ.dɪkt,3.0
automat,au-to-mat,ɔɚ.toʊ.mæt,3.0
boutique,bou-tique,buː.tiːk,2.0
autumnally,au-tum-nal-ly,ɔɚ.tʌm.nə.lɪ,4.0
collie,col-lie,kɑ.lɪ,2.0
alga,al-ga,æl.gə,2.0
behindhand,be-hind-hand,bɪ.haɪnd.hænd,3.0
bigwig,big-wig,bɪg.wɪg,2.0
appear,ap-pear,ə.pɪɚR,2.0
attainment,at-tain-ment,ə.teɪn.mənt,3.0
abundant,a-bun-dant,ə.bʌn.dənt,3.0
backdoor,back-door,"bæk.dɔɚR,2.0
blood-letting,blood--let-ting,blʌd."lɛ.tɪŋ,3.0
campus,cam-pus,kæm.pəs,2.0
bile-duct,bile--duct,baɪl.dʌkt,2.0
arithmetic,a-rith-me-tic,ə.ɹɪθ.mə.tɪk,4.0
as opposed to,as op-posed to,æz.ə.poʊz.tuː,4.0
alternative,al-ter-na-tive,ɔɚl.tɚ.nə.tɪv,4.0
Christmas pudding,Christ-mas pud-ding,"kɹɪs.məs.pʊ.dɪŋ,4.0
bayou,bay-ou,baɪ.uː,2.0
accurately,ac-cu-rate-ly,æ.kjʊ.ɹət.lɪ,4.0
bluebeard,blue-beard,bluː."bɪɚd,2.0
atlantic,at-lan-tic,ət.læn.tɪk,3.0
brittle,brit-tle,bɹɪ.təl,2.0
canal boat,ca-nal boat,kə.næl.boʊt,3.0
calor gas,cal-or gas,kæ.lə.gæs,3.0
aimless,aim-less,eɪm.lɪs,2.0
brake horsepower,brake horse-pow-er,"bɹeɪk.hɔɚs."paʊ.əR,4.0
aggressiveness,ag-gres-sive-ness,ə.gɹɛ.sɪv.nɪs,4.0
beneath,be-neath,bɪ.niːθ,2.0
advent,ad-vent,æd.vənt,2.0
antigen,an-ti-gen,æn.tɪ.dʒən,3.0
cloddish,clod-dish,klɑ.dɪʃ,2.0
bighead,big-head,bɪg.hɛd,2.0
commonalty,com-mon-al-ty,kɑ.mə.nəl.tɪ,4.0
censure,cen-sure,sɛn.ʃəR,2.0
broccoli,broc-co-li,bɹɑ.kə.lɪ,3.0
abnegation,ab-ne-ga-tion,"æb.nɪ.geɪ.ʃən,4.0
belief,be-lief,bɪ.liːf,2.0
brimstone,brim-stone,bɹɪm.stoʊn,2.0
coalhole,coal-hole,koʊl.hoʊl,2.0
appellant,ap-pel-lant,ə.pɛ.lənt,3.0
break through,break through,"bɹeɪk.θɹuː,2.0
align with,a-lign with,ə.laɪn.wɪð,3.0
centrally,cen-tral-ly,sɛn.tɹə.lɪ,3.0
addle-head,ad-dle--head,æ.dəl.hɛd,3.0
ABC,ABC,"eɪ.biː.siː,3.0
backbencher,back-bench-er,"bæk.bɛn.tʃəR,3.0
clock-dial,clock--di-al,klɑk."daɪ.əl,3.0
