# webcelex random #50%
Head;;HeadSyl;;PhonSylCLX;;SylCnt
alcoholic;;al-co-hol-ic;;"{l-k@-hQ-lIk;;4
alcoholically;;al-co-hol-i-cal-ly;;"{l-k@-hQ-lI-k@-lI;;6
alcoholism;;al-co-hol-ism;;{l-k@-hQ-lI-z@m;;5
alcove;;al-cove;;{l-k5v;;2
alehouse;;ale-house;;1l-h6s;;2
alert;;a-lert;;@-l3t;;2
alertly;;a-lert-ly;;@-l3t-lI;;3
A-level;;A--lev-el;;1-"lE-vP;;3
alexandrine;;al-ex-an-drine;;"{-lIg-z{n-dr2n;;4
alexia;;a-lex-i-a;;1-lEk-s7;;3
alfresco;;al-fres-co;;{l-frEs-k5;;3
alfresco;;al-fres-co;;{l-frEs-k5;;3
alga;;al-ga;;{l-g@;;2
algebraical;;al-ge-bra-i-cal;;"{l-_I-br1-I-kP;;5
algebraically;;al-ge-bra-i-cal-ly;;"{l-_I-br1-I-k@-lI;;6
algorithm;;al-go-rithm;;{l-g@-rI-D@m;;4
algorithmic;;al-go-rith-mic;;"{l-g@-rID-mIk;;4
alias;;a-li-as;;1-l7s;;2
alibi;;al-i-bi;;{-lI-b2;;3
alienable;;al-ien-a-ble;;1-lj@-n@-bP;;4
alienate;;al-ien-ate;;1-lj@-n1t;;3
alienation;;al-ien-a-tion;;"1-lj@-n1-SH;;4
alienist;;al-ien-ist;;1-lj@-nIst;;3
alight;;a-light;;@-l2t;;2
alight;;a-light;;@-l2t;;2
align with;;a-lign with;;@-l2n-wID;;3
alike;;a-like;;@-l2k;;2
alike;;a-like;;@-l2k;;2
aliment;;al-i-ment;;{-lI-m@nt;;3
alimentary canal;;al-i-men-ta-ry ca-nal;;{-lI-"mEn-t@-rI-k@-n{l;;7
alimony;;al-i-mo-ny;;{-lI-m@-nI;;4
alive;;a-live;;@-l2v;;2
alkali;;al-ka-li;;{l-k@-l2;;3
alkaline;;al-ka-line;;{l-k@-l2n;;3
all;;all;;$l;;1
allay;;al-lay;;@-l1;;2
all-day;;all--day;;$l-d1;;2
allegation;;al-le-ga-tion;;"{-lI-g1-SH;;4
allegedly;;al-leg-ed-ly;;@-lE-_Id-lI;;4
allegiance;;al-le-giance;;@-li-_@ns;;3
allegoric;;al-le-gor-ic;;"{-lI-gQ-rIk;;4
allegorical;;al-le-gor-i-cal;;"{-lI-gQ-rI-kP;;5
allegory;;al-le-go-ry;;{-lI-g@-rI;;4
allegretto;;al-le-gret-to;;"{-lI-grE-t5;;4
allegretto;;al-le-gret-to;;"{-lI-grE-t5;;4
allegro;;al-le-gro;;@-l1-gr5;;3
allegro;;al-le-gro;;@-l1-gr5;;3
alleluia;;al-le-lu-ia;;"{-lI-lu-j@;;4
allergy;;al-ler-gy;;{-l@-_I;;3
alleviation;;al-le-vi-a-tion;;@-"li-vI-1-SH;;5
all fours;;all fours;;"$l-f$z;;2
alliance;;al-li-ance;;@-l2-@ns;;3
alligator;;al-li-ga-tor;;{-lI-g1-t@R;;4
all in;;all in;;"$l-In;;2
alliterate;;al-lit-er-ate;;@-lI-t@-r1t;;4
alliterative;;al-lit-er-a-tive;;@-lI-t@-r@-tIv;;5
alliteratively;;al-lit-er-a-tive-ly;;@-lI-t@-r@-tIv-lI;;6
all-mains;;all--mains;;"$l-m1nz;;2
all-night;;all--night;;$l-n2t;;2
allocate;;al-lo-cate;;{-l5-k1t;;3
allocation;;al-lo-ca-tion;;"{-l5-k1-SH;;4
allopathic;;al-lo-path-ic;;"{-l5-p{-TIk;;4
allopathically;;al-lo-path-i-cal-ly;;"{-l@-p{-TI-k@-lI;;6
allotment;;al-lot-ment;;@-lQt-m@nt;;3
all out;;all out;;"$l-6t;;2
all-out;;all--out;;$l-6t;;2
allowance;;al-low-ance;;@-l6-@ns;;3
allow of;;al-low of;;@-l6-Qv;;3
alloy;;al-loy;;@-l4;;2
all right;;all right;;$l-r2t;;2
all-rounder;;all--round-er;;$l-r6n-d@R;;3
all-time;;all--time;;$l-t2m;;2
alluring;;al-lur-ing;;@-lj9-rIN;;3
ally;;al-ly;;@-l2;;2
alma mater;;al-ma ma-ter;;"{l-m@-m#-t@R;;4
almanac;;al-ma-nac;;$l-m@-n{k;;3
almost;;al-most;;$l-m5st;;2
alms;;alms;;#mz;;1
alms-giving;;alms--giv-ing;;#mz-"gI-vIN;;3
alms-house;;alms--house;;#mz-h6s;;2
aloft;;a-loft;;@-lQft;;2
alone;;a-lone;;@-l5n;;2
alone;;a-lone;;@-l5n;;2
alongside;;a-long-side;;@-lQN-s2d;;3
aloofness;;a-loof-ness;;@-luf-nIs;;3
alopecia;;al-o-pe-ci-a;;"{-l@-pi-S@;;4
alp;;alp;;{lp;;1
alpha and omega;;al-pha and o-me-ga;;"{l-f@-r{nd-5-mI-g@;;6
alphabetic;;al-pha-bet-ic;;"{l-f@-bE-tIk;;4
alpha particle;;al-pha par-ti-cle;;{l-f@-"p#-tI-kP;;5
alpine;;al-pine;;{l-p2n;;2
alpinist;;al-pin-ist;;{l-pI-nIst;;3
already;;al-read-y;;$l-rE-dI;;3
Alsace;;Al-sace;;{l-s{s;;2
Alsatian;;Al-sa-tian;;{l-s1-SH;;3
also-ran;;al-so--ran;;$l-s5-r{n;;3
altar;;al-tar;;$l-t@R;;2
alter;;al-ter;;$l-t@R;;2
alter ego;;al-ter e-go;;"{l-t@-rE-g5;;4
alternate;;al-ter-nate;;$l-t@-n1t;;3
alternating current;;al-ter-nat-ing cur-rent;;"$l-t@-n1-tIN-kV-r@nt;;6
alternative;;al-ter-na-tive;;$l-t3-n@-tIv;;4
alternative;;al-ter-na-tive;;$l-t3-n@-tIv;;4
alternatively;;al-ter-na-tive-ly;;$l-t3-n@-tIv-lI;;5
alternator;;al-ter-na-tor;;$l-t@-n1-t@R;;4
altitude;;al-ti-tude;;{l-tI-tjud;;3
alto;;al-to;;{l-t5;;2
altogether;;al-to-geth-er;;"$l-t@-gE-D@R;;4
altogether;;al-to-geth-er;;"$l-t@-gE-D@R;;4
altruism;;al-tru-ism;;{l-trU-I-z@m;;4
alum;;al-um;;{-l@m;;2
aluminum;;a-lu-mi-num;;@-lu-mI-n@m;;4
alveolar;;al-ve-o-lar;;{l-v7-l@R;;3
alveolar;;al-ve-o-lar;;{l-v7-l@R;;3
always;;al-ways;;$l-w1z;;2
amalgam;;a-mal-gam;;@-m{l-g@m;;3
amalgamate;;a-mal-ga-mate;;@-m{l-g@-m1t;;4
amalgamation;;a-mal-ga-ma-tion;;@-"m{l-g@-m1-SH;;5
amaryllis;;am-a-ryl-lis;;"{-m@-rI-lIs;;4
amass;;a-mass;;@-m{s;;2
amateur;;am-a-teur;;{-m@-t@R;;3
amateurism;;am-a-teur-ism;;{-m@-t@-rI-z@m;;5
amaze;;a-maze;;@-m1z;;2
amazon;;am-a-zon;;{-m@-z@n;;3
amazonian;;am-a-zo-ni-an;;"{-m@-z5-nj@n;;4
ambassador;;am-bas-sa-dor;;{m-b{-s@-d@R;;4
ambassadorial;;am-bas-sa-do-ri-al;;{m-"b{-s@-d$-r7l;;5
ambassadorship;;am-bas-sa-dor-ship;;{-b{-s@-d@-SIp;;5
ambidextrous;;am-bi-dex-trous;;"{m-bI-dEks-tr@s;;4
ambidextrously;;am-bi-dex-trous-ly;;"{m-bI-dEk-str@s-lI;;5
ambience;;am-bi-ence;;{m-b7ns;;2
ambient;;am-bi-ent;;{m-b7nt;;2
ambiguously;;am-big-u-ous-ly;;{m-bI-gj9s-lI;;4
ambiguousness;;am-big-u-ous-ness;;{m-bI-gj9s-nIs;;4
ambition;;am-bi-tion;;{m-bI-SH;;3
ambitious;;am-bi-tious;;{m-bI-S@s;;3
ambitiously;;am-bi-tious-ly;;{m-bI-S@s-lI;;4
ambitiousness;;am-bi-tious-ness;;{m-bI-S@s-nIs;;4
ambivalent;;am-biv-a-lent;;{m-bI-v@-l@nt;;4
amble;;am-ble;;{m-bP;;2
ambrosia;;am-bro-sia;;{m-br5-zj@;;3
ambulance;;am-bu-lance;;{m-bjU-l@ns;;3
ambulant;;am-bu-lant;;{m-bjU-l@nt;;3
ambuscade;;am-bus-cade;;"{m-b@s-k1d;;3
ambuscade;;am-bus-cade;;"{m-b@s-k1d;;3
ambush;;am-bush;;{m-bUS;;2
AmE;;AmE;;{-"mE-rI-k@n-IN-glIS;;6
ameliorate;;a-mel-io-rate;;@-mi-lj@-r1t;;4
amenable;;a-me-na-ble;;@-mi-n@-bP;;4
amendable;;a-mend-a-ble;;@-mEn-d@-bP;;4
American;;A-mer-i-can;;@-mE-rI-k@n;;4
American football;;A-mer-i-can foot-ball;;@-"mE-rI-k@n-fUt-b$l;;6
American Indian;;A-mer-i-can In-di-an;;@-"mE-rI-k@n-In-dj@n;;6
Amhara;;Am-ha-ra;;{m-h#-r@;;3
Amharic;;Am-har-ic;;{m-h{-rIk;;3
amiable;;a-mi-a-ble;;1-mj@-bP;;3
amiably;;a-mi-a-bly;;1-mj@-blI;;3
amicability;;am-i-ca-bil-i-ty;;"{-mI-k@-bI-l@-tI;;6
amicable;;am-i-ca-ble;;{-mI-k@-bP;;4
amicably;;am-i-ca-bly;;{-mI-k@-blI;;4
amidships;;a-mid-ships;;@-mId-SIps;;3
amir;;a-mir;;@-m7R;;2
amiss;;a-miss;;@-mIs;;2
amity;;am-i-ty;;{-m@-tI;;3
ammonia;;am-mo-nia;;@-m5-nj@;;3
ammoniated;;am-mo-ni-at-ed;;@-m5-nI-1-tId;;5
ammonite;;am-mo-nite;;{-m@-n2t;;3
ammunition;;am-mu-ni-tion;;"{-mjU-nI-SH;;4
amnesia;;am-ne-sia;;{m-ni-zj@;;3
amoeba;;a-moe-ba;;@-mi-b@;;3
amok;;a-mok;;@-mQk;;2
among;;a-mong;;@-mVN;;2
amongst;;a-mongst;;@-mVNst;;2
amorality;;a-mo-ral-i-ty;;"1-mQ-r{-lI-tI;;5
amorously;;am-o-rous-ly;;{-m@-r@s-lI;;4
amorousness;;am-o-rous-ness;;{-m@-r@s-nIs;;4
amorphously;;a-mor-phous-ly;;@-m$-f@s-lI;;4
amorphousness;;a-mor-phous-ness;;@-m$-f@s-nIs;;4
amount;;a-mount;;@-m6nt;;2
amount to;;a-mount to;;@-m6nt-tu;;3
amour;;a-mour;;@-m9R;;2
amperage;;am-per-age;;{m-p@-rI_;;3
amphetamine;;am-phet-a-mine;;{m-fE-t@-min;;4
amphibian;;am-phib-i-an;;{m-fI-b7n;;3
amphibious;;am-phib-i-ous;;{m-fI-b7s;;3
amphora;;am-pho-ra;;{m-f@-r@;;3
amplifier;;am-pli-fi-er;;{m-plI-f2-@R;;4
amplify;;am-pli-fy;;{m-plI-f2;;3
amplitude;;am-pli-tude;;{m-plI-tjud;;3
amply;;am-ply;;{m-plI;;2
ampoule;;am-poule;;{m-pul;;2
amputate;;am-pu-tate;;{m-pjU-t1t;;3
amuse;;a-muse;;@-mjuz;;2
amusing;;a-mus-ing;;@-mu-zIN;;3
anachronism;;a-nach-ro-nism;;@-n{-kr@-nI-z@m;;5
anaemia;;a-nae-mi-a;;@-ni-mj@;;3
anaemic;;a-nae-mic;;@-ni-mIk;;3
anaemically;;a-nae-mi-cal-ly;;@-ni-mI-k@-lI;;5
anaesthetic;;an-aes-thet-ic;;"{-nIs-TE-tIk;;4
anaesthetize;;an-aes-the-tize;;{-nis-T@-t2z;;4
anagram;;an-a-gram;;{-n@-gr{m;;3
anal;;a-nal;;1-nP;;2
analgesic;;an-al-ge-sic;;"{-n{l-_i-sIk;;4
analogize;;a-nal-o-gize;;@-n{-l@-_2z;;4
analogously;;a-nal-o-gous-ly;;@-n{-l@-g@s-lI;;5
analogue;;an-a-logue;;{-n@-lQg;;3
analogue computer;;an-a-logue com-put-er;;"{-n@-lQg-k@m-pju-t@R;;6
analytic;;an-a-lyt-ic;;"{-n@-lI-tIk;;4
analytically;;an-a-lyt-i-cal-ly;;"{-n@-lI-tI-k@-lI;;6
anapaestic;;an-a-paes-tic;;"{-n@-pi-stIk;;4
anarchic;;an-ar-chic;;{-n#-kIk;;3
anarchical;;an-ar-chi-cal;;{-n#-kI-kP;;4
anarchically;;an-ar-chi-cal-ly;;{-n#-kI-k@-lI;;5
anarchism;;an-ar-chism;;{-n@-kI-z@m;;4
anarchist;;an-ar-chist;;{-n@-kIst;;3
anarchistically;;an-ar-chis-ti-cal-ly;;"{-n@-kI-stI-k@-lI;;6
anatomical;;an-a-tom-i-cal;;"{-n@-tQ-mI-kP;;5
anatomy;;a-nat-o-my;;@-n{-t@-mI;;4
ancestor;;an-ces-tor;;{n-sE-st@R;;3
anchorage;;an-chor-age;;{N-k@-rI_;;3
anchoress;;an-cho-ress;;{N-k@-rIs;;3
anchorite;;an-cho-rite;;{N-k@-r2t;;3
ancient;;an-cient;;1n-S@nt;;2
ancillary;;an-cil-lar-y;;{n-sI-l@-rI;;4
andante;;an-dan-te;;{n-d{n-tI;;3
andante;;an-dan-te;;{n-d{n-tI;;3
andante;;an-dan-te;;{n-d{n-tI;;3
andiron;;and-i-ron;;{n-d2-@n;;3
Andorra;;An-dor-ra;;{n-d$-r@;;3
Andorran;;An-dor-ran;;{n-d$-r@n;;3
anecdotal;;an-ec-do-tal;;"{-nEk-d5-tP;;4
anecdote;;an-ec-dote;;{-nIk-d5t;;3
anemometer;;an-e-mom-e-ter;;"{-nI-mQ-mI-t@R;;5
anemone;;a-nem-o-ne;;@-nE-m@-nI;;4
aneroid;;an-er-oid;;{-n@-r4d;;3
anew;;a-new;;@-nju;;2
angel;;an-gel;;1n-_@l;;2
angelical;;an-gel-i-cal;;{n-_E-lI-kP;;4
angelically;;an-gel-i-cal-ly;;@n-_E-lI-k@-lI;;5
angelus;;an-ge-lus;;{n-_@-l@s;;3
anger;;an-ger;;{N-g@R;;2
angle;;an-gle;;{N-gP;;2
angle bracket;;an-gle brack-et;;{N-gP-"br{-kIt;;4
angle-dozer;;an-gle--doz-er;;{N-gP-"d5-z@;;4
angle-park;;an-gle--park;;{N-gP-p#k;;3
Anglican;;An-gli-can;;{N-glI-k@n;;3
Anglican;;An-gli-can;;{N-glI-k@n;;3
Anglicanism;;An-gli-can-ism;;{N-glI-k@-nI-z@m;;5
anglicize;;an-gli-cize;;{N-glI-s2z;;3
Anglo-American;;An-glo--A-mer-i-can;;"{N-gl5-@-mE-rI-k@n;;6
Anglo-Catholic;;An-glo--Cath-o-lic;;"{N-gl5-k{-T@-lIk;;5
Anglo-Indian;;An-glo--In-di-an;;"{N-gl5-In-dj@n;;4
Anglophile;;An-glo-phile;;{N-gl5-f2l;;3
Anglophilia;;An-glo-phil-i-a;;"{N-gl5-fI-l7;;4
Anglophobe;;An-glo-phobe;;{N-gl5-f5b;;3
Anglo-Saxon;;An-glo--Sax-on;;"{N-gl5-s{k-s@n;;4
Angolan;;An-go-lan;;{N-g5-l@n;;3
angora;;an-go-ra;;{N-g$-r@;;3
angrily;;an-gri-ly;;{n-gr@-lI;;3
angst;;angst;;{Nst;;1
Anguillan;;An-guil-lan;;{N-gwI-l@n;;3
Anguillan;;An-guil-lan;;{N-gwI-l@n;;3
anguish;;an-guish;;{N-gwIS;;2
animadvert;;an-i-mad-vert;;"{-nI-m{d-v3t;;4
animalism;;an-i-mal-ism;;{-nI-m@-lI-z@m;;5
animal kingdom;;an-i-mal king-dom;;{-nI-mP-"kIN-d@m;;5
animate;;an-i-mate;;{-nI-m@t;;3
animated cartoon;;an-i-mat-ed car-toon;;"{-nI-m1-tId-k#-tun;;6
animation;;an-i-ma-tion;;"{-nI-m1-SH;;4
animosity;;an-i-mos-i-ty;;"{-nI-mQ-s@-tI;;5
anis;;an-is;;{-nis;;2
anise;;an-ise;;{-nIs;;2
ankle;;an-kle;;{N-kP;;2
anna;;an-na;;{-n@;;2
annalist;;an-nal-ist;;{-n@-lIst;;3
annals;;an-nals;;{-nPz;;2
annexe;;an-nexe;;{-nEks;;2
anniversary;;an-ni-ver-sa-ry;;"{-nI-v3-s@-rI;;5
Anno Domini;;An-no Dom-i-ni;;"{-n5-dQ-mI-n2;;5
annotate;;an-no-tate;;{-n5-t1t;;3
announcement;;an-nounce-ment;;@-n6n-sm@nt;;3
annoy;;an-noy;;@-n4;;2
annoying;;an-noy-ing;;@-n4-IN;;3
annual;;an-nu-al;;{-nj9l;;2
annually;;an-nu-al-ly;;{-nj9-lI;;3
annuitant;;an-nu-i-tant;;@-nju-t@nt;;3
annuity;;an-nu-i-ty;;@-nju-I-tI;;4
annul;;an-nul;;@-nVl;;2
annular;;an-nu-lar;;{-njU-l@R;;3
annunciate;;an-nun-ci-ate;;@-nVn-sI-1t;;4
annunciation;;an-nun-ci-a-tion;;@-"nVn-sI-1-SH;;5
anode;;an-ode;;{-n5d;;2
anodyne;;an-o-dyne;;{-n5-d2n;;3
anodyne;;an-o-dyne;;{-n5-d2n;;3
anointment;;a-noint-ment;;@-n4nt-m@nt;;3
anomalous;;a-nom-a-lous;;@-nQ-m@-l@s;;4
anomalously;;a-nom-a-lous-ly;;@-nQ-m@-l@s-lI;;5
anomaly;;a-nom-a-ly;;@-nQ-m@-lI;;4
anon.;;anon.;;@-nQn;;2
anonymous;;a-non-y-mous;;@-nQ-nI-m@s;;4
anonymously;;a-non-y-mous-ly;;@-nQ-nI-m@s-lI;;5
anopheles;;a-noph-e-les;;@-nQ-fI-liz;;4
anorak;;an-o-rak;;{-n@-r{k;;3
answer;;an-swer;;#n-s@R;;2
answerable;;an-swer-a-ble;;#n-s@-r@-bP;;4
answerably;;an-swer-a-bly;;#n-s@-r@-blI;;4
answer for;;an-swer for;;#n-s@-f$R;;3
antacid;;ant-ac-id;;"{n-t{-sId;;3
antagonistic;;an-tag-o-nis-tic;;{n-"t{-g@-nI-stIk;;5
antagonistically;;an-tag-o-nis-ti-cal-ly;;{n-"t{-g@-nI-stI-k@-lI;;7
antagonize;;an-tag-o-nize;;{n-t{-g@-n2z;;4
antarctic;;ant-arc-tic;;{n-t#k-tIk;;3
ante;;an-te;;{n-tI;;2
antecede;;an-te-cede;;"{n-tI-sid;;3
antecedence;;an-te-ced-ence;;"{n-tI-si-d@ns;;4
antecedent;;an-te-ced-ent;;"{n-tI-si-d@nt;;4
antecedents;;an-te-ced-ents;;"{n-tI-si-d@nts;;4
antediluvian;;an-te-di-lu-vi-an;;"{n-tI-dI-lu-vj@n;;5
antediluvian;;an-te-di-lu-vi-an;;"{n-tI-dI-lu-vj@n;;5
ante meridiem;;an-te me-rid-i-em;;"{n-tI-m@-rI-d7m;;5
antenna;;an-ten-na;;{n-tE-n@;;3
antepenultimate;;an-te-pe-nul-ti-mate;;"{n-tI-pI-nVl-tI-m@t;;6
anterior;;an-te-ri-or;;{n-t7-r7R;;3
ante up;;an-te up;;"{n-tI-Vp;;3
anther;;an-ther;;{n-T@R;;2
anthologist;;an-thol-o-gist;;{n-TQ-l@-_Ist;;4
anthology;;an-thol-o-gy;;{n-TQ-l@-_I;;4
anthracite;;an-thra-cite;;{n-Tr@-s2t;;3
anthrax;;an-thrax;;{n-Tr{ks;;2
anthropoid;;an-thro-poid;;{n-Tr5-p4d;;3
anthropoid;;an-thro-poid;;{n-Tr5-p4d;;3
anthropological;;an-thro-po-log-i-cal;;"{n-Tr@-p@-lQ-_I-kP;;6
anthropologically;;an-thro-po-log-i-cal-ly;;"{n-Tr@-p@-lQ-_I-k@-lI;;7
anthropologist;;an-thro-pol-o-gist;;"{n-Tr@-pQ-l@-_Ist;;5
anthropology;;an-thro-pol-o-gy;;"{n-Tr@-pQ-l@-_I;;5
anthropomorphic;;an-thro-po-mor-phic;;"{n-Tr@-p5-m$-fIk;;5
anthropophagy;;an-thro-poph-a-gy;;"{n-Tr5-pQ-f@-_I;;5
anti-aircraft;;an-ti--air-craft;;"{n-tI-8-kr#ft;;4
antiaircraft;;an-ti-air-craft;;"{n-tI-8-kr#ft;;4
antibiotic;;an-ti-bi-ot-ic;;"{n-tI-b2-Q-tIk;;5
antibiotic;;an-ti-bi-ot-ic;;"{n-tI-b2-Q-tIk;;5
antibody;;an-ti-bod-y;;{n-tI-"bQ-dI;;4
anticipate;;an-tic-i-pate;;{n-tI-sI-p1t;;4
anticipation;;an-tic-i-pa-tion;;{n-"tI-sI-p1-SH;;5
anticlerical;;an-ti-cler-i-cal;;"{n-tI-klE-rI-kP;;5
anticlimax;;an-ti-cli-max;;"{n-tI-kl2-m{ks;;4
anticlockwise;;an-ti-clock-wise;;"{n-tI-klQk-w2z;;4
antidote;;an-ti-dote;;{n-tI-d5t;;3
antifreeze;;an-ti-freeze;;{n-tI-friz;;3
antigen;;an-ti-gen;;{n-tI-_@n;;3
Antiguan;;An-ti-guan;;{n-ti-g@n;;3
antihistamine;;an-ti-his-ta-mine;;"{n-tI-hI-st@-mIn;;5
antiknock;;an-ti-knock;;"{n-tI-nQk;;3
antilogarithm;;an-ti-log-a-rithm;;"{n-tI-lQ-g@-rI-DF;;6
antimacassar;;an-ti-ma-cas-sar;;"{n-tI-m@-k{-s@R;;5
antimony;;an-ti-mo-ny;;{n-tI-m@-nI;;4
antipathetic;;an-ti-pa-thet-ic;;"{n-tI-p@-TE-tIk;;5
antipathetically;;an-ti-pa-thet-i-cal-ly;;"{n-tI-p@-TE-tI-klI;;6
antipersonnel;;an-ti-per-son-nel;;"{n-tI-p3-s@-nEl;;5
antipodes;;an-tip-o-des;;{n-tI-p@-diz;;4
antique;;an-tique;;{n-tik;;2
antique;;an-tique;;{n-tik;;2
antiquity;;an-tiq-ui-ty;;{n-tI-kw@-tI;;4
antirrhinum;;an-tir-rhi-num;;"{n-tI-r2-n@m;;4
anti-Semite;;an-ti--Sem-ite;;"{n-tI-si-m2t;;4
anti-Semite;;an-ti--Sem-ite;;"{n-tI-si-m2t;;4
antiseptic;;an-ti-sep-tic;;"{n-tI-sEp-tIk;;4
antiseptic;;an-ti-sep-tic;;"{n-tI-sEp-tIk;;4
antithesis;;an-tith-e-sis;;{n-tI-TI-sIs;;4
antithetical;;an-ti-thet-i-cal;;"{n-tI-TE-tI-kP;;5
antithetically;;an-ti-thet-i-cal-ly;;"{n-tI-TE-tI-k@-lI;;6
antitrades;;an-ti-trades;;"{n-tI-tr1dz;;3
anus;;a-nus;;1-n@s;;2
anxiously;;anx-ious-ly;;{Nk-S@s-lI;;3
any;;an-y;;E-nI;;2
anybody;;an-y-bod-y;;E-nI-"bQ-dI;;4
anyhow;;an-y-how;;E-nI-h6;;3
anyone;;an-y-one;;E-nI-wVn;;3
anything;;an-y-thing;;E-nI-TIN;;3
apart;;a-part;;@-p#t;;2
apart;;a-part;;@-p#t;;2
apartments;;a-part-ments;;@-p#t-m@nts;;3
apathetic;;ap-a-thet-ic;;"{-p@-TE-tIk;;4
apathetically;;ap-a-thet-i-cal-ly;;"{-p@-TE-tI-k@-lI;;6
apathy;;ap-a-thy;;{-p@-TI;;3
ape;;ape;;1p;;1
aperture;;ap-er-ture;;{-p@-tj9R;;3
apex;;a-pex;;1-pEks;;2
aphasia;;a-pha-sia;;@-f1-zj@;;3
aphasic;;a-pha-sic;;@-f1-zIk;;3
aphrodisiac;;aph-ro-dis-i-ac;;"{-fr5-dI-zI-{k;;5
apiary;;a-pi-ar-y;;1-pj@-rI;;3
apocalyptic;;a-poc-a-lyp-tic;;@-"pQ-k@-lIp-tIk;;5
apocalyptically;;a-poc-a-lyp-ti-cal-ly;;@-"pQ-k@-lIp-tI-klI;;6
apologetic;;a-pol-o-get-ic;;@-"pQ-l@-_E-tIk;;5
apologetic;;a-pol-o-get-ic;;@-"pQ-l@-_E-tIk;;5
apologetically;;a-pol-o-get-i-cal-ly;;@-"pQ-l@-_E-tI-k@-lI;;7
apology;;a-pol-o-gy;;@-pQ-l@-_I;;4
apoplectically;;ap-o-plec-ti-cal-ly;;@-"pQ-l@-_E-tI-k@-lI;;7
apostasy;;a-pos-ta-sy;;@-pQ-st@-sI;;4
apostate;;a-pos-tate;;@-pQ-st1t;;3
a posteriori;;a pos-te-ri-o-ri;;"1-pQ-stE-rI-$-r2;;6
a posteriori;;a pos-te-ri-o-ri;;"1-pQ-st7-rI-$-r2;;6
apostolic;;ap-os-tol-ic;;"{-p@-stQ-lIk;;4
apostrophe;;a-pos-tro-phe;;@-pQs-tr@-fI;;4
apothegm;;ap-o-thegm;;{-p@-TEm;;3
appal;;ap-pal;;@-p$l;;2
apparel;;ap-par-el;;@-p{-r@l;;3
apparel;;ap-par-el;;@-p{-r@l;;3
appeal;;ap-peal;;@-pil;;2
appealing;;ap-peal-ing;;@-pi-lIN;;3
appealingly;;ap-peal-ing-ly;;@-pi-lIN-lI;;4
appeal to;;ap-peal to;;@-pil-tu;;3
appear;;ap-pear;;@-p7R;;2
appearances;;ap-pear-anc-es;;@-pi-r@n-sIz;;4
appease;;ap-pease;;@-piz;;2
appellant;;ap-pel-lant;;@-pE-l@nt;;3
appellant;;ap-pel-lant;;@-pE-l@nt;;3
appellation;;ap-pel-la-tion;;"{-p@-l1-SH;;4
appendage;;ap-pend-age;;@-pEn-dI_;;3
appendix;;ap-pen-dix;;@-pEn-dIks;;3
appetizer;;ap-pe-tiz-er;;{-pI-t2-z@R;;4
appetizing;;ap-pe-tiz-ing;;{-pI-t2-zIN;;4
applaud;;ap-plaud;;@-pl$d;;2
apple cart;;ap-ple cart;;{-pP-k#t;;3
applejack;;ap-ple-jack;;{-pP-_{k;;3
apple pie;;ap-ple pie;;"{-pP-p2;;3
appliance;;ap-pli-ance;;@-pl2-@ns;;3
applied;;ap-plied;;@-pl2d;;2
appliqu#e;;ap-pli-que;;{-pli-k1;;3
appliqu#e;;ap-pli-que;;{-pli-k1;;3
appointee;;ap-point-ee;;@-p4n-ti;;3
appointment;;ap-point-ment;;@-p4nt-m@nt;;3
apportion;;ap-por-tion;;@-p$-SH;;3
appositely;;ap-po-site-ly;;{-p5-zIt-lI;;4
appraisal;;ap-prais-al;;@-pr1-zP;;3
appraiser;;ap-prais-er;;@-pr1-z@R;;3
appreciably;;ap-pre-cia-bly;;@-pri-S@-blI;;4
appreciation;;ap-pre-ci-a-tion;;@-"pri-SI-1-SH;;5
appreciative;;ap-pre-cia-tive;;@-pri-Sj@-tIv;;4
apprehension;;ap-pre-hen-sion;;"{-prI-hEn-SH;;4
apprehensively;;ap-pre-hen-sive-ly;;"{-prI-hEn-sIv-lI;;5
apprentice;;ap-pren-tice;;@-prEn-tIs;;3
apprenticeship;;ap-pren-tice-ship;;@-prEn-tI-SIp;;4
approach;;ap-proach;;@-pr5J;;2
approachable;;ap-proach-a-ble;;@-pr5-J@-bP;;4
approbate;;ap-pro-bate;;{-pr5-b1t;;3
approbation;;ap-pro-ba-tion;;"{-pr5-b1-SH;;4
approbatory;;ap-pro-ba-to-ry;;"{-pr5-b1-t@-rI;;5
appropriate;;ap-pro-pri-ate;;@-pr5-pr7t;;3
appropriately;;ap-pro-pri-ate-ly;;@-pr5-pr7t-lI;;4
appropriateness;;ap-pro-pri-ate-ness;;@-pr5-pr7t-nIs;;4
appropriation;;ap-pro-pri-a-tion;;@-"pr5-prI-1-SH;;5
approval;;ap-prov-al;;@-pru-vP;;3
approve;;ap-prove;;@-pruv;;2
approved school;;ap-proved school;;@-pruvd-skul;;3
approximate;;ap-prox-i-mate;;@-prQk-sI-m@t;;4
appurtenance;;ap-pur-te-nance;;@-p3-tI-n@ns;;4
apr`es-ski;;a-pres--ski;;"{-pr1-ski;;3
April fool;;A-pril fool;;"1-pr@l-ful;;3
